"","mfl_id","name","team","draft_year","stats_global_id","fleaflicker_id","rotoworld_id","nfl_id","espn_id","sportsdata_id","draft_round","draft_pick","height","weight","college","birthdate","age","sleeper_id","first_name","last_name","fantasy_data_id","rotowire_id","gsis_id","stats_id","yahoo_id","displayname","mergename","pos","avg_salary","fa_yr","doECR","dpECR","rpECR"
"1","4397","Nix, Roosevelt","PIT","2014","546742",NA,"10021","rooseveltnix/2550235","17223","f611f87a-1e49-4196-9088-8c760f26006d",NA,NA,"71","248","Kent State",1992-03-30,27.5,"2174","Roosevelt","Nix",16534,9857,"00-0030741",546742,28068,"Roosevelt Nix","roosevelt nix","RB",NA,NA,NA,NA,NA
"2","4925","Brees, Drew","NOS","2001","25598","325","591","drewbrees/2504775","2580","bb5957e6-ce7d-47ab-8036-22191ffc1c44","2","1","72","209","Purdue",1979-01-15,40.7,"289","Drew","Brees",7242,2178,"00-0020531",25598,5479,"Drew Brees","drew brees","QB",25,2020,166.7,23.3,21
"3","5848","Brady, Tom","NEP","2000","25347","309","1163","tombrady/2504211","2330","41c44740-d0f6-44ab-8347-3b5d515e5ecf","6","33","76","225","Michigan",1977-08-03,42.2,"167","Tom","Brady",4314,1350,"00-0019596",25347,5228,"Tom Brady","tom brady","QB",23,2020,168,21.7,10.2
"4","6589","McCown, Josh","PHI","2002","81059",NA,"2090","joshmccown/2505076","3609","a261fd0a-b096-4db7-bd51-2f13bde485da","3","16","76","218","Sam Houston State",1979-07-04,40.3,"208","Josh","McCown",5282,2513,"00-0021206",81059,5967,"Josh McCown","josh mccown","QB",2,2020,NA,51.7,53
"5","6997","Witten, Jason","DAL","2003","184571",NA,"1990","jasonwitten/2505629","4527","e38c9b1b-7c51-48a2-ac1d-a752502e8930","3","5","78","263","Tennessee",1982-05-06,37.4,"23","Jason","Witten",722,3086,"00-0022127",184571,6405,"Jason Witten","jason witten","TE",4.2,2020,NA,40.9,20.2
"6","7236","Gates, Antonio","FA","2003","234249",NA,"611","antoniogates/2505299","5362","82da09c2-e542-4f7d-87d9-24dfd8e014de",NA,NA,"76","255","Kent State",1980-06-18,39.3,"322","Antonio","Gates",7884,3172,"00-0021547",234249,6663,"Antonio Gates","antonio gates","TE",NA,NA,NA,NA,NA
"7","7391","Manning, Eli","NYG","2004","246051","1181","1657","elimanning/2505996","5526","6cb6226e-f08c-4192-95f1-69709ed686c6","1","1","77","218","Mississippi",1981-01-03,38.8,"188","Eli","Manning",4932,3763,"00-0022803",246051,6760,"Eli Manning","eli manning","QB",21,2020,NA,43.4,38
"8","7393","Fitzgerald, Larry","ARI","2004","246053","1732","1661","larryfitzgerald/2506106","5528","b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5","1","3","75","218","Pittsburgh",1983-08-31,36.1,"223","Larry","Fitzgerald",5571,3730,"00-0022921",246053,6762,"Larry Fitzgerald","larry fitzgerald","WR",11,2020,150,62.7,22
"9","7394","Rivers, Philip","LAC","2004","246054","326","1813","philiprivers/2506121","5529","e47706c7-e14d-41fb-b13b-83a835a1f3bc","1","4","77","228","North Carolina State",1981-12-08,37.8,"331","Philip","Rivers",8244,3766,"00-0022942",246054,6763,"Philip Rivers","philip rivers","QB",20.8,2020,149.7,19.9,14.8
"10","7401","Roethlisberger, Ben","PIT","2004","246061","394","1181","benroethlisberger/2506109","5536","ea357add-1a41-4a8b-8f34-bbfade7f4d98","1","11","77","240","Miami (Ohio)",1982-03-02,37.6,"138","Ben","Roethlisberger",3807,3764,"00-0022924",246061,6770,"Ben Roethlisberger","ben roethlisberger","QB",34,2022,203,29.9,NA
