"","rusher_player_id","posteam","week","Rushes","RushYD","Rush1D","RushTD","eRushFP","RushFP","RushDiff","eRushFP1D","RushFP1D","RushDiff1D","RushGames","Tar","Rec","AYs","RecYD","Rec1D","RecTD","eRecFP","RecFP","RecDiff","eRecFP1D","RecFP1D","RecDiff1D","RecGames","mergename","pos","TeamRushes","TeamRushYD","TeamRush1D","TeamRushTD","eTeamRushFP","TeamRushFP","eTeamRushFP1D","TeamRushFP1D","TeamTar","TeamRec","TeamAYs","TeamRecYD","TeamRec1D","TeamRecTD","eTeamRecFP","TeamRecFP","eTeamRecFP1D","TeamRecFP1D","eFP","FP","Diff","eFP1D","FP1D","Diff1D","eTeamFP","TeamFP","TeamDiff","eTeamFP1D","TeamFP1D","TeamDiff1D","Games"
"1","00-0019596","NE",2,1,1,1,1,3.19394745462779,6.1,2.90605254537221,3.41719171435846,6.6,3.18280828564154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tom Brady","QB",34,124,11,2,25.2461251023468,22.4,29.6197778962094,27.9,28,20,284,264,13,2,47.8751025475769,58.4,52.3682410017446,64.9,NA,NA,NA,NA,NA,NA,73.1212276499238,80.8,7.67877235007624,81.988018897954,92.8,10.811981102046,1
"2","00-0019596","NE",6,5,6,3,2,11.6543603499257,12.6,0.945639650074334,12.7986513635361,14.1,1.30134863646391,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tom Brady","QB",32,114,8,3,29.0808332848656,29.4,33.5790371654516,33.4,40,31,310,334,17,0,60.9030133118235,64.4,67.704381226496,72.9,NA,NA,NA,NA,NA,NA,89.983846596689,93.8,3.81615340331096,101.283418391948,106.3,5.01658160805246,1
"3","00-0022803","NYG",1,1,6,0,0,0.397858665249326,0.6,0.202141334750674,0.448472612610611,0.6,0.151527387389389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eli Manning","QB",17,151,8,1,13.4125935052438,19.1,15.9831043213335,23.1,47,33,373,323,16,1,74.5957467811325,71.3,82.5379872073861,79.3,NA,NA,NA,NA,NA,NA,88.0083402863762,90.4,2.39165971362377,98.5210915287196,102.4,3.8789084712804,1
"4","00-0022803","NYG",2,1,2,1,0,0.434685371703171,0.2,-0.234685371703171,0.741965398069345,0.7,-0.0419653980693449,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eli Manning","QB",20,129,7,1,10.142735140447,18.9,12.4814573825013,22.4,45,26,415,250,14,1,69.8012333628879,57,78.1779445455578,64,NA,NA,NA,NA,NA,NA,79.9439685033349,75.9,-4.0439685033349,90.6594019280591,86.4,-4.25940192805912,1
"5","00-0022924","PIT",1,1,7,0,0,0.642666124310654,0.7,0.0573338756893461,0.711271327412302,0.7,-0.0112713274123016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ben Roethlisberger","QB",13,32,1,0,8.82503358944075,3.2,10.9206283000539,3.7,47,27,473,276,11,0,73.1757387919026,54.6,81.0235083166385,60.1,NA,NA,NA,NA,NA,NA,82.0007723813434,57.8,-24.2007723813434,91.9441366166924,63.8,-28.1441366166924,1
"6","00-0022942","LAC",1,1,6,1,0,0.639619260868651,0.6,-0.0396192608686512,0.894953839706107,1.1,0.205046160293893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philip Rivers","QB",21,125,9,1,12.9777871306406,18.5,15.8208436819695,23,34,25,295,333,14,3,59.9992438584068,76.3,65.3879874607156,83.3,NA,NA,NA,NA,NA,NA,72.9770309890473,94.8,21.8229690109527,81.2088311426851,106.3,25.0911688573149,1
"7","00-0022942","LAC",2,1,12,1,0,0.505383557418071,1.2,0.694616442581929,0.596726569407185,1.7,1.10327343059282,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philip Rivers","QB",25,137,6,1,20.8113631580507,17.7,23.887802360762,20.7,36,21,412,293,13,0,58.996177650699,50.3,66.359772193749,56.8,NA,NA,NA,NA,NA,NA,79.8075408087497,68,-11.8075408087497,90.247574554511,77.5,-12.747574554511,1
"8","00-0022942","LAC",3,2,9,0,0,1.20693540177117,0.9,-0.306935401771174,1.39661299178138,0.9,-0.496612991781384,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philip Rivers","QB",18,73,3,0,9.69143232691028,7.3,11.9222861017605,8.8,45,31,526,318,17,2,73.5947387820528,74.8,80.5094354310268,83.3,NA,NA,NA,NA,NA,NA,83.2861711089631,82.1,-1.18617110896311,92.4317215327873,92.1,-0.331721532787256,1
"9","00-0022942","LAC",4,1,0,0,0,0.400817305063267,0,-0.400817305063267,0.450184852235642,0,-0.450184852235642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philip Rivers","QB",30,82,6,1,19.0320742980716,14.2,22.749615012015,17.2,30,25,243,317,16,2,47.3108523915868,68.7,52.6603256799416,76.7,NA,NA,NA,NA,NA,NA,66.3429266896584,82.9,16.5570733103417,75.4099406919566,93.9,18.4900593080434,1
"10","00-0022942","LAC",5,1,-3,0,0,0.418877338033344,-0.3,-0.718877338033345,0.641120293019165,-0.3,-0.941120293019165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philip Rivers","QB",16,35,0,0,10.3038025033191,3.5,12.2822465270873,3.5,46,32,322,211,14,0,72.6916457473117,51.1,81.4355401916893,58.1,NA,NA,NA,NA,NA,NA,82.9954482506308,54.6,-28.3954482506308,93.7177867187766,61.6,-32.1177867187766,1
